team_name,team_location,team_mascot,team_abbr,team_code,team_id_num,level,league_name,parent_org_name,parent_org_id,team_logo,team_cap_logo_on_light,team_dot_logo
Charleston RiverDogs,Charleston,RiverDogs,CHS,crd,233,A,Carolina League,Tampa Bay Rays,139,https://www.mlbstatic.com/team-logos/233.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/233.svg,https://midfield.mlbstatic.com/v1/team/233/spots/500
DSL Rangers Blue,DSL Rangers Blue,DSL Rangers Blue,D-RNB,drb,625,Rookie,Dominican Summer League,Texas Rangers,140,https://www.mlbstatic.com/team-logos/625.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/625.svg,https://midfield.mlbstatic.com/v1/team/625/spots/500
ACL Rangers,ACL Rangers,ACL Rangers,A-RAN,ate,411,Rookie,Arizona Complex League,Texas Rangers,140,https://www.mlbstatic.com/team-logos/411.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/411.svg,https://midfield.mlbstatic.com/v1/team/411/spots/500
DSL Rangers Red,DSL Rangers Red,DSL Rangers Red,D-RNR,drr,2413,Rookie,Dominican Summer League,Texas Rangers,140,https://www.mlbstatic.com/team-logos/2413.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/2413.svg,https://midfield.mlbstatic.com/v1/team/2413/spots/500
Texas Rangers,Texas,Rangers,TEX,tex,140,MLB,American League,Texas Rangers,140,https://www.mlbstatic.com/team-logos/140.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/140.svg,https://midfield.mlbstatic.com/v1/team/140/spots/500
Round Rock Express,Round Rock,Express,RR,rre,102,AAA,Pacific Coast League,Texas Rangers,140,https://www.mlbstatic.com/team-logos/102.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/102.svg,https://midfield.mlbstatic.com/v1/team/102/spots/500
Frisco RoughRiders,Frisco,RoughRiders,FRI,fri,540,AA,Texas League,Texas Rangers,140,https://www.mlbstatic.com/team-logos/540.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/540.svg,https://midfield.mlbstatic.com/v1/team/540/spots/500
Hub City Spartanburgers,Hub City,Spartanburgers,HCS,hub,6324,A+,South Atlantic League,Texas Rangers,140,https://www.mlbstatic.com/team-logos/6324.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/6324.svg,https://midfield.mlbstatic.com/v1/team/6324/spots/500
Hickory Crawdads,Hickory,Crawdads,HIC,hic,448,A,Carolina League,Texas Rangers,140,https://www.mlbstatic.com/team-logos/448.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/448.svg,https://midfield.mlbstatic.com/v1/team/448/spots/500
DSL Blue Jays 2,DSL Blue Jays 2,DSL Blue Jays 2,D-BJ2,dbj,1610,Rookie,Dominican Summer League,Toronto Blue Jays,141,https://www.mlbstatic.com/team-logos/1610.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/1610.svg,https://midfield.mlbstatic.com/v1/team/1610/spots/500
DSL Blue Jays,DSL Blue Jays,DSL Blue Jays,D-BLJ,dbl,604,Rookie,Dominican Summer League,Toronto Blue Jays,141,https://www.mlbstatic.com/team-logos/604.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/604.svg,https://midfield.mlbstatic.com/v1/team/604/spots/500
FCL Blue Jays,FCL Blue Jays,FCL Blue Jays,F-BLU,fbj,1390,Rookie,Florida Complex League,Toronto Blue Jays,141,https://www.mlbstatic.com/team-logos/1390.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/1390.svg,https://midfield.mlbstatic.com/v1/team/1390/spots/500
Toronto Blue Jays,Toronto,Blue Jays,TOR,tor,141,MLB,American League,Toronto Blue Jays,141,https://www.mlbstatic.com/team-logos/141.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/141.svg,https://midfield.mlbstatic.com/v1/team/141/spots/500
Buffalo Bisons,Buffalo,Bisons,BUF,buf,422,AAA,International League,Toronto Blue Jays,141,https://www.mlbstatic.com/team-logos/422.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/422.svg,https://midfield.mlbstatic.com/v1/team/422/spots/500
New Hampshire Fisher Cats,New Hampshire,Fisher Cats,NH,nhm,463,AA,Eastern League,Toronto Blue Jays,141,https://www.mlbstatic.com/team-logos/463.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/463.svg,https://midfield.mlbstatic.com/v1/team/463/spots/500
Vancouver Canadians,Vancouver,Canadians,VAN,van,435,A+,Northwest League,Toronto Blue Jays,141,https://www.mlbstatic.com/team-logos/435.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/435.svg,https://midfield.mlbstatic.com/v1/team/435/spots/500
Dunedin Blue Jays,Dunedin,Blue Jays,DUN,dun,424,A,Florida State League,Toronto Blue Jays,141,https://www.mlbstatic.com/team-logos/424.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/424.svg,https://midfield.mlbstatic.com/v1/team/424/spots/500
FCL Nationals,FCL Nationals,FCL Nationals,F-NAT,fna,466,Rookie,Florida Complex League,Washington Nationals,120,https://www.mlbstatic.com/team-logos/466.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/466.svg,https://midfield.mlbstatic.com/v1/team/466/spots/500
DSL Nationals,DSL Nationals,DSL Nationals,D-NAT,dna,1270,Rookie,Dominican Summer League,Washington Nationals,120,https://www.mlbstatic.com/team-logos/1270.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/1270.svg,https://midfield.mlbstatic.com/v1/team/1270/spots/500
Washington Nationals,Washington,Nationals,WSH,was,120,MLB,National League,Washington Nationals,120,https://www.mlbstatic.com/team-logos/120.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/120.svg,https://midfield.mlbstatic.com/v1/team/120/spots/500
Rochester Red Wings,Rochester,Red Wings,ROC,roc,534,AAA,International League,Washington Nationals,120,https://www.mlbstatic.com/team-logos/534.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/534.svg,https://midfield.mlbstatic.com/v1/team/534/spots/500
Harrisburg Senators,Harrisburg,Senators,HBG,har,547,AA,Eastern League,Washington Nationals,120,https://www.mlbstatic.com/team-logos/547.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/547.svg,https://midfield.mlbstatic.com/v1/team/547/spots/500
Wilmington Blue Rocks,Wilmington,Blue Rocks,WIL,wil,426,A+,South Atlantic League,Washington Nationals,120,https://www.mlbstatic.com/team-logos/426.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/426.svg,https://midfield.mlbstatic.com/v1/team/426/spots/500
Fredericksburg Nationals,Fredericksburg,Nationals,FBG,fbg,436,A,Carolina League,Washington Nationals,120,https://www.mlbstatic.com/team-logos/436.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/436.svg,https://midfield.mlbstatic.com/v1/team/436/spots/500
